"created_date","complaint_type","borough","agency_name","status"
"2026-05-03T15:53:18.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T15:53:06.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:53:00.000","Water System","BROOKLYN","Department of Environmental Protection","Open"
"2026-05-03T15:52:54.000","Dirty Condition","MANHATTAN","Department of Sanitation","In Progress"
"2026-05-03T15:52:52.000","Noise - Vehicle","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:52:41.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T15:52:29.000","Noise - Commercial","BRONX","New York City Police Department","Closed"
"2026-05-03T15:52:01.000","Noise - Residential","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:52:00.000","Noise","MANHATTAN","Department of Environmental Protection","Open"
"2026-05-03T15:51:58.000","Street Condition","QUEENS","Department of Transportation","Open"
"2026-05-03T15:51:57.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:51:43.000","HEAT/HOT WATER","BRONX","Department of Housing Preservation and Development","Closed"
"2026-05-03T15:51:40.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T15:51:27.000","Dirty Condition","MANHATTAN","Department of Sanitation","Closed"
"2026-05-03T15:51:12.000","Blocked Driveway","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:51:01.000","Noise - Residential","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T15:51:00.000","Blocked Driveway","BRONX","New York City Police Department","Closed"
"2026-05-03T15:51:00.000","Illegal Parking","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T15:50:59.000","Illegal Tree Damage","QUEENS","Department of Parks and Recreation","In Progress"
"2026-05-03T15:50:56.000","Sidewalk Condition","MANHATTAN","Department of Transportation","In Progress"
"2026-05-03T15:50:37.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:50:06.000","Street Condition","BRONX","Department of Transportation","Open"
"2026-05-03T15:49:56.000","Noise - Commercial","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:49:49.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T15:49:45.000","Blocked Driveway","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:49:25.000","Encampment","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T15:49:21.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:48:54.000","Illegal Parking","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T15:48:50.000","Illegal Parking","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T15:48:48.000","Residential Disposal Complaint","BROOKLYN","Department of Sanitation","Closed"
"2026-05-03T15:48:40.000","Homeless Person Assistance","MANHATTAN","Department of Homeless Services","Closed"
"2026-05-03T15:48:31.000","UNSANITARY CONDITION","BROOKLYN","Department of Housing Preservation and Development","Open"
"2026-05-03T15:48:31.000","ELECTRIC","BROOKLYN","Department of Housing Preservation and Development","Open"
"2026-05-03T15:48:31.000","ELECTRIC","BROOKLYN","Department of Housing Preservation and Development","Closed"
"2026-05-03T15:48:31.000","ELECTRIC","BROOKLYN","Department of Housing Preservation and Development","Open"
"2026-05-03T15:48:31.000","APPLIANCE","BROOKLYN","Department of Housing Preservation and Development","Closed"
"2026-05-03T15:48:23.000","Street Condition","STATEN ISLAND","Department of Transportation","Open"
"2026-05-03T15:48:23.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:48:15.000","Abandoned Vehicle","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:48:13.000","Illegal Parking","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T15:48:12.000","Maintenance or Facility","MANHATTAN","Department of Parks and Recreation","In Progress"
"2026-05-03T15:48:12.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T15:47:56.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:47:49.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T15:47:44.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:47:37.000","Noise - Residential","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:47:35.000","Dirty Condition","MANHATTAN","Department of Sanitation","Closed"
"2026-05-03T15:47:30.000","Noise - Street/Sidewalk","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:47:22.000","Noise - Street/Sidewalk","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T15:47:22.000","Noise - Residential","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T15:47:15.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:47:07.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:47:04.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:46:47.000","Street Condition","QUEENS","Department of Transportation","Open"
"2026-05-03T15:46:31.000","Noise - Street/Sidewalk","QUEENS","New York City Police Department","Closed"
"2026-05-03T15:46:24.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T15:45:55.000","Illegal Tree Damage","QUEENS","Department of Parks and Recreation","Closed"
"2026-05-03T15:45:44.000","General Construction/Plumbing","BROOKLYN","Department of Buildings","Closed"
"2026-05-03T15:45:40.000","General Construction/Plumbing","BROOKLYN","Department of Buildings","Closed"
"2026-05-03T15:45:35.000","Rodent","BRONX","Department of Health and Mental Hygiene","In Progress"
